TICKER1,TICKER2	GEN	FEB	MAR	APR	MAG	GIU	LUG	AGO	SET	OTT	NOV	DIC
CFA,FEX	[('1.426', '1.629'), ('3.993', '3.953'), ('-1.340', '-1.676'), ('1.577', '1.381'), ('1.088', '1.150'), ('0.250', '-0.337'), ('0.882', '1.483'), ('-0.469', '-0.831'), ('2.240', '1.893'), ('1.655', '1.559'), ('4.334', '3.674'), ('0.702', '0.948')]
CFA,KRMA	[('1.426', '1.105'), ('3.993', '4.094'), ('-1.340', '-1.280'), ('1.577', '1.715'), ('1.088', '1.363'), ('0.250', '0.533'), ('0.882', '0.545'), ('-0.469', '-0.827'), ('2.240', '2.823'), ('1.655', '1.274'), ('4.334', '3.393'), ('0.702', '1.114')]
CFO,FEX	[('1.405', '1.629'), ('3.870', '3.953'), ('-1.275', '-1.676'), ('1.694', '1.381'), ('1.113', '1.150'), ('0.023', '-0.337'), ('1.071', '1.483'), ('-0.414', '-0.831'), ('2.219', '1.893'), ('1.657', '1.559'), ('4.173', '3.674'), ('0.889', '0.948')]
CFO,KRMA	[('1.405', '1.105'), ('3.870', '4.094'), ('-1.275', '-1.280'), ('1.694', '1.715'), ('1.113', '1.363'), ('0.023', '0.533'), ('1.071', '0.545'), ('-0.414', '-0.827'), ('2.219', '2.823'), ('1.657', '1.274'), ('4.173', '3.393'), ('0.889', '1.114')]
CIU,CRED	[('0.462', '-0.046'), ('0.775', '0.943'), ('0.322', '0.420'), ('0.514', '0.691'), ('0.705', '1.234'), ('0.009', '0.260'), ('0.814', '0.972'), ('0.408', '0.607'), ('-0.054', '-0.071'), ('0.018', '0.098'), ('-0.219', '-0.206'), ('-0.128', '0.188')]
CIU,CSJ	[('0.462', '0.277'), ('0.775', '0.286'), ('0.322', '0.181'), ('0.514', '0.219'), ('0.705', '0.257'), ('0.009', '0.038'), ('0.814', '0.361'), ('0.408', '0.209'), ('-0.054', '-0.066'), ('0.018', '0.067'), ('-0.219', '-0.219'), ('-0.128', '-0.115')]
CIU,DWFI	[('0.462', '1.426'), ('0.775', '1.281'), ('0.322', '0.600'), ('0.514', '1.115'), ('0.705', '0.990'), ('0.009', '0.569'), ('0.814', '1.257'), ('0.408', '0.008'), ('-0.054', '0.039'), ('0.018', '0.031'), ('-0.219', '0.415'), ('-0.128', '-1.053')]
CIU,ECCB	[('0.462', '0.197'), ('0.775', '0.766'), ('0.322', '0.309'), ('0.514', '0.194'), ('0.705', '0.614'), ('0.009', '-0.645'), ('0.814', '1.006'), ('0.408', '0.724'), ('-0.054', '-0.644'), ('0.018', '-0.951'), ('-0.219', '-0.076'), ('-0.128', '0.114')]
CIU,FMB	[('0.462', '0.528'), ('0.775', '0.682'), ('0.322', '0.563'), ('0.514', '0.851'), ('0.705', '1.396'), ('0.009', '-0.057'), ('0.814', '0.522'), ('0.408', '0.484'), ('-0.054', '-0.393'), ('0.018', '0.056'), ('-0.219', '-0.329'), ('-0.128', '0.526')]
CIU,FTSL	[('0.462', '-0.082'), ('0.775', '0.372'), ('0.322', '-0.575'), ('0.514', '0.021'), ('0.705', '0.227'), ('0.009', '-0.412'), ('0.814', '0.600'), ('0.408', '-0.514'), ('-0.054', '-0.331'), ('0.018', '0.291'), ('-0.219', '-0.476'), ('-0.128', '-0.187')]
CIU,GNMA	[('0.462', '0.242'), ('0.775', '0.222'), ('0.322', '0.262'), ('0.514', '0.201'), ('0.705', '0.765'), ('0.009', '-0.540'), ('0.814', '0.647'), ('0.408', '0.502'), ('-0.054', '0.181'), ('0.018', '0.020'), ('-0.219', '-0.261'), ('-0.128', '-0.141')]
CIU,IEI	[('0.462', '0.318'), ('0.775', '0.392'), ('0.322', '0.556'), ('0.514', '0.398'), ('0.705', '0.510'), ('0.009', '-0.299'), ('0.814', '0.568'), ('0.408', '0.589'), ('-0.054', '-0.628'), ('0.018', '-0.130'), ('-0.219', '-0.382'), ('-0.128', '-0.294')]
CIU,ISTB	[('0.462', '0.320'), ('0.775', '0.300'), ('0.322', '0.160'), ('0.514', '0.319'), ('0.705', '0.399'), ('0.009', '0.040'), ('0.814', '0.379'), ('0.408', '0.278'), ('-0.054', '-0.119'), ('0.018', '0.040'), ('-0.219', '-0.240'), ('-0.128', '-0.040')]
CIU,IUSB	[('0.462', '0.020'), ('0.775', '1.080'), ('0.322', '0.537'), ('0.514', '0.673'), ('0.705', '0.789'), ('0.009', '0.020'), ('0.814', '0.829'), ('0.408', '0.686'), ('-0.054', '-0.215'), ('0.018', '0.255'), ('-0.219', '-0.079'), ('-0.128', '0.059')]
CIU,LMBS	[('0.462', '-0.153'), ('0.775', '0.250'), ('0.322', '-0.287'), ('0.514', '-0.019'), ('0.705', '0.019'), ('0.009', '-0.063'), ('0.814', '0.058'), ('0.408', '-0.058'), ('-0.054', '-0.154'), ('0.018', '-0.308'), ('-0.219', '-0.212'), ('-0.128', '-0.290')]
CIU,MBB	[('0.462', '0.038'), ('0.775', '0.603'), ('0.322', '0.481'), ('0.514', '0.347'), ('0.705', '0.685'), ('0.009', '-0.327'), ('0.814', '0.743'), ('0.408', '0.579'), ('-0.054', '-0.214'), ('0.018', '-0.075'), ('-0.219', '-0.178'), ('-0.128', '0.169')]
CIU,NMZ	[('0.462', '1.322'), ('0.775', '0.845'), ('0.322', '0.382'), ('0.514', '0.609'), ('0.705', '1.587'), ('0.009', '-0.297'), ('0.814', '1.190'), ('0.408', '0.221'), ('-0.054', '-0.220'), ('0.018', '-0.148'), ('-0.219', '0.222'), ('-0.128', '-0.512')]
CIU,OXLCO	[('0.462', '0.078'), ('0.775', '0.980'), ('0.322', '-0.583'), ('0.514', '0.353'), ('0.705', '-0.039'), ('0.009', '-0.313'), ('0.814', '0.669'), ('0.408', '-0.078'), ('-0.054', '-0.860'), ('0.018', '-0.937'), ('-0.219', '-0.828'), ('-0.128', '0.475')]
CIU,SHV	[('0.462', '0.027'), ('0.775', '0.036'), ('0.322', '0.054'), ('0.514', '0.018'), ('0.705', '0.045'), ('0.009', '0.073'), ('0.814', '0.109'), ('0.408', '0.082'), ('-0.054', '0.091'), ('0.018', '0.036'), ('-0.219', '0.054'), ('-0.128', '-0.009')]
CIU,SHY	[('0.462', '0.190'), ('0.775', '0.071'), ('0.322', '0.142'), ('0.514', '0.095'), ('0.705', '0.142'), ('0.009', '-0.059'), ('0.814', '0.261'), ('0.408', '0.166'), ('-0.054', '-0.166'), ('0.018', '-0.166'), ('-0.219', '-0.202'), ('-0.128', '-0.155')]
CIU,VCIT	[('0.462', '0.456'), ('0.775', '1.180'), ('0.322', '0.407'), ('0.514', '0.751'), ('0.705', '1.175'), ('0.009', '-0.057'), ('0.814', '1.136'), ('0.408', '0.545'), ('-0.054', '-0.159'), ('0.018', '0.228'), ('-0.219', '-0.274'), ('-0.128', '-0.011')]
CIU,VCSH	[('0.462', '0.442'), ('0.775', '0.365'), ('0.322', '0.163'), ('0.514', '0.289'), ('0.705', '0.502'), ('0.009', '0.088'), ('0.814', '0.463'), ('0.408', '0.262'), ('-0.054', '-0.012'), ('0.018', '0.063'), ('-0.219', '-0.251'), ('-0.128', '-0.277')]
CIU,VGIT	[('0.462', '0.281'), ('0.775', '0.500'), ('0.322', '0.626'), ('0.514', '0.983'), ('0.705', '0.822'), ('0.009', '-0.293'), ('0.814', '0.590'), ('0.408', '0.756'), ('-0.054', '-0.676'), ('0.018', '-0.124'), ('-0.219', '-0.295'), ('-0.128', '-0.312')]
CIU,VGSH	[('0.462', '0.214'), ('0.775', '0.049'), ('0.322', '0.198'), ('0.514', '0.115'), ('0.705', '0.165'), ('0.009', '-0.016'), ('0.814', '0.214'), ('0.408', '0.165'), ('-0.054', '-0.132'), ('0.018', '-0.099'), ('-0.219', '-0.149'), ('-0.128', '-0.199')]
CIU,VMBS	[('0.462', '0.057'), ('0.775', '0.651'), ('0.322', '0.478'), ('0.514', '0.438'), ('0.705', '0.647'), ('0.009', '-0.246'), ('0.814', '0.629'), ('0.408', '0.607'), ('-0.054', '-0.170'), ('0.018', '-0.076'), ('-0.219', '-0.171'), ('-0.128', '-0.114')]
CRED,CSJ	[('-0.046', '0.277'), ('0.943', '0.286'), ('0.420', '0.181'), ('0.691', '0.219'), ('1.234', '0.257'), ('0.260', '0.038'), ('0.972', '0.361'), ('0.607', '0.209'), ('-0.071', '-0.066'), ('0.098', '0.067'), ('-0.206', '-0.219'), ('0.188', '-0.115')]
CRED,FMB	[('-0.046', '0.528'), ('0.943', '0.682'), ('0.420', '0.563'), ('0.691', '0.851'), ('1.234', '1.396'), ('0.260', '-0.057'), ('0.972', '0.522'), ('0.607', '0.484'), ('-0.071', '-0.393'), ('0.098', '0.056'), ('-0.206', '-0.329'), ('0.188', '0.526')]
CRED,GNMA	[('-0.046', '0.242'), ('0.943', '0.222'), ('0.420', '0.262'), ('0.691', '0.201'), ('1.234', '0.765'), ('0.260', '-0.540'), ('0.972', '0.647'), ('0.607', '0.502'), ('-0.071', '0.181'), ('0.098', '0.020'), ('-0.206', '-0.261'), ('0.188', '-0.141')]
CRED,IEI	[('-0.046', '0.318'), ('0.943', '0.392'), ('0.420', '0.556'), ('0.691', '0.398'), ('1.234', '0.510'), ('0.260', '-0.299'), ('0.972', '0.568'), ('0.607', '0.589'), ('-0.071', '-0.628'), ('0.098', '-0.130'), ('-0.206', '-0.382'), ('0.188', '-0.294')]
CRED,ISTB	[('-0.046', '0.320'), ('0.943', '0.300'), ('0.420', '0.160'), ('0.691', '0.319'), ('1.234', '0.399'), ('0.260', '0.040'), ('0.972', '0.379'), ('0.607', '0.278'), ('-0.071', '-0.119'), ('0.098', '0.040'), ('-0.206', '-0.240'), ('0.188', '-0.040')]
