TICKER	DATA PRIMA QUOTAZIONE	DATA ULTIMA QUOTAZIONE	VARIAZIONE PERCENTUALE	PREZZO MINIMO	PREZZO MASSIMO
AEB	2005-11-23	2018-08-24	2.097%	10.000	9.990
AED	2005-11-23	2018-08-24	4.960%	10.010	9.980
AEE	1998-01-02	2018-08-24	49.466%	19.510	65.090
AEG	1985-06-28	2018-08-24	347.481%	1.244	9.990
AEGN	1981-12-03	2018-08-24	1228.000%	1.125	9.875
AEH	2005-06-15	2018-08-24	4.894%	10.000	9.990
AEHR	1997-08-15	2018-08-24	-82.983%	0.400	9.990
AEIS	1995-11-17	2018-08-24	480.400%	10.000	95.000
AEL	2003-12-04	2018-08-24	313.149%	10.000	9.990
AEM	1980-03-17	2018-08-24	290.919%	10.000	9.980
AEMD	1999-10-20	2018-08-24	-99.694%	0.790	97.500
AEO	1994-04-14	2018-08-24	3096.125%	0.272	9.993
AEP	1970-01-02	2018-08-24	133.633%	13.500	78.070
AER	2006-11-21	2018-08-24	146.612%	1.830	9.950
AERI	2013-10-25	2018-08-24	474.929%	10.050	9.870
AES	1991-06-26	2018-08-24	327.564%	0.920	9.990
AET	1977-01-03	2018-08-24	6687.785%	10.000	99.920
AETI	2007-05-16	2018-08-24	-85.128%	0.620	9.970
AEY	1996-05-30	2018-08-24	-94.314%	0.250	9.687
AEZS	2001-09-24	2018-08-24	-99.925%	0.780	996.000
AFB	2002-01-29	2018-08-24	-16.389%	10.000	9.860
AFC	2007-04-17	2018-08-24	3.293%	10.000	9.990
AFG	1980-03-17	2018-08-24	1732.384%	10.000	99.990
AFGE	2014-09-24	2018-08-24	5.361%	24.200	28.283
AFGH	2015-11-20	2018-08-24	2.160%	23.471	28.400
AFH	2013-02-12	2018-08-24	78.151%	10.000	9.970
AFI	2016-03-17	2018-08-24	37.549%	11.770	22.960
AFL	1980-03-17	2018-08-24	38808.040%	0.088	9.985
AFMD	2014-09-12	2018-08-24	-71.930%	1.150	9.920
AFSI	2006-11-28	2018-08-24	356.343%	10.004	9.992
AFSS	2015-06-22	2018-08-24	-1.086%	21.410	26.806
AFST	2015-09-23	2018-08-24	-0.279%	22.460	28.750
AFT	2011-02-25	2018-08-24	-19.450%	13.710	21.030
AG	2006-11-28	2018-08-24	41.282%	0.430	9.990
AGC	2007-05-25	2018-08-24	-71.550%	10.000	9.990
AGCO	1992-04-16	2018-08-24	1214.000%	1.667	9.990
AGD	2006-07-27	2018-08-24	-73.825%	10.000	9.990
AGEN	2000-02-08	2018-08-24	-99.254%	1.140	99.900
AGFS	2014-11-25	2018-08-24	-34.639%	1.960	9.950
AGI	2009-02-17	2018-08-24	-29.767%	10.000	9.990
AGIO	2013-07-24	2018-08-24	139.546%	100.000	99.820
AGLE	2016-04-07	2018-08-24	5.220%	10.000	9.910
AGM	1994-02-10	2018-08-24	4442.857%	1.333	99.110
AGMH	2018-04-18	2018-08-24	198.571%	10.213	9.990
AGN	1989-06-22	2018-08-24	3132.173%	10.000	99.550
AGNC	2008-05-15	2018-08-24	-0.258%	12.000	36.770
AGNCB	2014-05-09	2018-08-24	4.911%	22.640	26.869
AGNCN	2017-08-16	2018-08-24	6.237%	24.700	26.790
AGND	2013-12-18	2018-08-24	-13.206%	41.420	50.170
AGO	2004-04-23	2018-08-24	132.611%	10.100	9.960
AGR	2015-12-17	2018-08-24	38.677%	32.450	54.550
AGRO	2011-01-28	2018-08-24	-31.417%	10.000	9.990
AGRX	2014-05-23	2018-08-24	-94.946%	0.231	9.990
AGS	2007-12-13	2018-08-24	-20.506%	0.040	97.500
