TICKER	DATA PRIMA QUOTAZIONE	DATA ULTIMA QUOTAZIONE	VARIAZIONE PERCENTUALE	PREZZO MINIMO	PREZZO MASSIMO
CII	2004-05-26	2018-08-24	-14.100%	10.000	9.970
CIL	2000-01-03	2018-08-24	-65.630%	10.000	99.700
CIM	2007-11-29	2018-08-24	-74.815%	10.250	98.950
CINF	1980-03-17	2018-08-24	5670.804%	1.074	9.987
CINR	2013-09-13	2018-08-24	50.056%	17.760	39.100
CIO	2014-04-15	2018-08-24	4.597%	10.030	13.930
CIR	1999-10-18	2018-08-24	308.753%	10.000	9.938
CISN	2017-06-30	2018-08-24	71.720%	10.002	17.740
CIT	2009-12-10	2018-08-24	88.893%	24.830	56.140
CIVB	1994-04-06	2018-08-24	-60.952%	10.000	9.990
CIVI	2014-09-17	2018-08-24	-1.565%	11.150	30.230
CIZ	2014-10-01	2018-08-24	-1.962%	26.070	42.790
CJ	2017-04-12	2018-08-24	-30.185%	21.220	36.780
CJJD	2015-01-02	2018-08-24	-54.297%	1.170	4.680
CKH	1992-12-17	2018-08-24	631.567%	10.012	95.745
CKPT	2017-06-27	2018-08-24	-61.508%	10.000	9.950
CL	1977-01-03	2018-08-24	3808.968%	0.688	9.984
CLAR	1995-02-02	2018-08-24	76.271%	0.250	99.000
CLB	1995-09-21	2018-08-24	3698.333%	10.000	99.950
CLBK	2018-04-20	2018-08-24	9.468%	15.300	17.730
CLBS	2001-01-05	2018-08-24	-99.823%	10.100	99.000
CLCT	1999-11-05	2018-08-24	-38.538%	1.818	9.991
CLD	2009-11-20	2018-08-24	-83.356%	1.080	9.990
CLDC	2014-10-31	2018-08-24	-90.051%	0.920	9.990
CLDR	2017-04-28	2018-08-24	-22.376%	12.570	23.350
CLDT	2010-04-16	2018-08-24	4.976%	10.010	9.990
CLDX	1986-05-15	2018-08-24	-99.197%	0.400	99.750
CLF	1991-02-19	2018-08-24	208.449%	1.200	99.980
CLFD	1986-08-06	2018-08-24	694.074%	0.180	9.984
CLGN	2018-01-31	2018-08-24	-34.637%	4.700	8.990
CLGX	1989-11-22	2018-08-24	2578.230%	0.793	9.996
CLH	1987-11-24	2018-08-24	1404.222%	0.531	9.935
CLI	1994-08-25	2018-08-24	25.159%	13.150	56.520
CLIR	2012-04-25	2018-08-24	-50.000%	1.650	9.990
CLLS	2015-03-25	2018-08-24	-25.394%	16.090	50.000
CLMT	2018-06-29	2018-08-24	-5.369%	6.250	7.950
CLNC	2018-02-01	2018-08-24	-0.784%	17.660	22.000
CLNE	2007-05-25	2018-08-24	-76.080%	1.310	9.990
CLPR	2017-02-10	2018-08-24	-11.852%	10.000	9.990
CLR	2007-05-15	2018-08-24	829.078%	10.000	9.975
CLRB	2010-02-24	2018-08-24	-99.997%	10.000	99.000
CLRG	2017-12-13	2018-08-24	4.600%	24.160	27.800
CLRO	2015-01-02	2018-08-24	-77.903%	10.000	9.840
CLS	1998-06-30	2018-08-24	30.773%	10.000	9.990
CLSD	2016-06-02	2018-08-24	-7.172%	10.000	9.990
CLSN	1999-03-01	2018-08-24	-99.692%	1.240	993.243
CLUB	2006-06-02	2018-08-24	-25.660%	0.920	9.990
CLVS	2011-11-16	2018-08-24	179.857%	100.900	99.450
CLW	2008-12-05	2018-08-24	155.556%	10.300	8.475
CLWT	1997-03-14	2018-08-24	-67.548%	0.735	9.968
CLX	1980-03-17	2018-08-24	13610.117%	0.984	99.950
CLXT	2017-07-05	2018-08-24	-30.609%	10.250	31.890
CM	1997-11-13	2018-08-24	208.525%	100.000	99.990
CMA	1980-03-17	2018-08-24	3403.960%	10.000	99.820
CMC	1980-03-17	2018-08-24	4524.879%	0.355	9.990
CMCM	2014-05-08	2018-08-24	-25.603%	10.000	9.997
CMCO	1996-02-23	2018-08-24	169.751%	1.300	9.990
CMCSA	1980-03-17	2018-08-24	37318.202%	0.082	9.997
CMCT	2018-01-16	2018-08-24	-15.531%	11.750	18.500
CMD	1980-03-24	2018-08-24	21470.852%	0.198	99.920
CME	2002-12-06	2018-08-24	1873.427%	10.000	99.980
CMFN	2018-01-16	2018-08-24	9.639%	7.500	9.900
CMG	2006-01-26	2018-08-24	1083.432%	100.010	99.970
CMI	1980-03-17	2018-08-24	3691.328%	10.000	99.980
CMO	1985-09-05	2018-08-24	-76.544%	10.000	99.750
CMP	2003-12-12	2018-08-24	363.273%	13.000	98.100
CMPR	2005-09-30	2018-08-24	824.590%	100.060	99.990
CMRE	2010-11-04	2018-08-24	-39.578%	10.010	9.990
CMRX	2013-04-11	2018-08-24	-77.807%	12.960	9.750
CMS	1980-03-17	2018-08-24	201.435%	10.000	9.990
CMSA	2018-03-13	2018-08-24	0.718%	24.060	25.250
CMSS	2017-10-26	2018-08-24	-60.311%	25.105	9.990
CMTA	2017-08-02	2018-08-24	-41.957%	10.000	9.840
CMTL	1980-03-17	2018-08-24	432.995%	0.370	9.990
CMU	1987-03-19	2018-08-24	-55.000%	1.810	9.875
CNA	1980-03-17	2018-08-24	824.000%	10.000	9.958
CNAC	2017-08-10	2018-08-24	3.711%	10.000	9.990
CNAT	2013-07-25	2018-08-24	-45.263%	1.400	9.950
CNBKA	1987-05-20	2018-08-24	988.000%	1.000	9.875
CNC	2001-12-13	2018-08-24	4966.512%	10.000	99.980
CNCE	2014-02-13	2018-08-24	10.437%	10.015	9.970
CNCR	2015-10-14	2018-08-24	-1.395%	18.234	32.320
CNDT	2016-12-13	2018-08-24	35.375%	13.100	21.670
CNET	2009-08-14	2018-08-24	-76.686%	0.825	9.950
CNFR	2015-08-13	2018-08-24	-38.679%	10.192	9.970
CNHI	2013-09-30	2018-08-24	-5.840%	10.090	9.990
CNI	1996-11-26	2018-08-24	2640.364%	10.000	90.570
CNK	2007-04-24	2018-08-24	98.414%	10.000	9.990
CNMD	1987-07-23	2018-08-24	3288.935%	0.815	9.926
CNNE	2017-11-20	2018-08-24	6.960%	16.160	21.340
CNO	2003-09-10	2018-08-24	8.850%	0.260	9.980
CNOB	1994-04-04	2018-08-24	387.220%	10.000	9.990
CNP	1970-01-02	2018-08-24	149.603%	10.000	9.998
CNQ	2000-07-31	2018-08-24	901.614%	10.030	9.995
CNS	2004-08-16	2018-08-24	226.360%	10.050	9.990
CNSL	2005-07-22	2018-08-24	-12.400%	10.000	9.930
CNTF	2005-05-06	2018-08-24	-97.272%	1.450	99.400
CNTY	1993-11-10	2018-08-24	102.500%	0.375	9.990
CNX	1999-04-30	2018-08-24	167.958%	10.000	99.250
CNXM	2014-09-25	2018-08-24	-32.204%	10.010	9.970
CNXN	1998-03-03	2018-08-24	169.153%	10.000	9.990
CO	2007-05-14	2018-08-24	20.696%	1.850	9.990
COBZ	1998-06-18	2018-08-24	271.027%	10.000	9.993
COCP	2012-05-01	2018-08-24	-96.649%	1.610	9.900
CODA	1994-10-31	2018-08-24	-99.990%	0.014	99750.000
CODI	2006-05-18	2018-08-24	18.792%	10.000	9.990
CODX	2017-07-12	2018-08-24	-46.127%	1.450	6.850
COE	1999-09-27	2018-08-24	126.250%	0.025	93.450
COF	1994-11-16	2018-08-24	1764.875%	10.000	99.950
COG	1990-02-08	2018-08-24	1580.000%	0.854	9.993
COHR	1980-03-17	2018-08-24	3694.483%	10.000	99.850
COHU	1980-03-17	2018-08-24	4290.737%	0.484	9.990
COKE	1980-03-17	2018-08-24	2509.231%	10.000	99.590
COL	2001-06-15	2018-08-24	467.208%	100.100	99.850
COLB	1992-06-16	2018-08-24	1005.371%	10.000	9.998
COLD	2018-01-19	2018-08-24	35.340%	16.130	24.060
COLL	2015-05-07	2018-08-24	36.046%	10.000	9.970
COLM	1998-03-27	2018-08-24	1137.470%	10.000	95.580
COMM	2013-10-25	2018-08-24	106.004%	14.720	42.750
COMT	2014-10-16	2018-08-24	-24.459%	23.770	51.330
CONE	2013-01-18	2018-08-24	220.142%	17.410	68.250
CONN	2003-11-25	2018-08-24	147.008%	10.000	9.990
COO	1983-01-21	2018-08-24	725.333%	0.422	99.750
COOL	2000-08-18	2018-08-24	-99.659%	10.080	999.600
COP	1981-12-31	2018-08-24	1311.099%	10.005	9.958
COR	2010-09-23	2018-08-24	621.924%	100.080	99.400
CORE	2005-04-13	2018-08-24	441.562%	10.010	9.998
CORI	2014-04-03	2018-08-24	18.875%	10.000	9.990
CORR	2007-02-02	2018-08-24	-49.173%	10.900	96.350
CORT	2004-04-14	2018-08-24	11.038%	0.680	9.990
COST	1986-07-09	2018-08-24	2002.545%	10.000	99.990
COT	1992-06-16	2018-08-24	230.162%	0.590	9.990
COTV	2016-05-26	2018-08-24	161.485%	17.000	45.970
COTY	2013-06-13	2018-08-24	-30.991%	10.730	32.720
COUP	2016-10-06	2018-08-24	113.341%	22.500	71.660
COWN	2006-07-13	2018-08-24	-76.149%	10.000	9.960
COWNZ	2017-12-15	2018-08-24	1.383%	24.760	26.240
CP	1983-12-30	2018-08-24	2933.214%	10.000	98.930
CPA	2005-12-15	2018-08-24	240.082%	100.000	99.970
CPAC	2012-02-22	2018-08-24	-8.696%	10.000	9.990
CPAH	2004-04-07	2018-08-24	26.338%	0.849	99.500
CPB	1980-03-17	2018-08-24	2378.070%	1.579	9.969
CPE	1990-03-26	2018-08-24	37.576%	0.930	9.990
CPF	1987-08-28	2018-08-24	-48.587%	10.000	99.200
CPG	2006-07-21	2018-08-24	-66.615%	10.050	9.990
CPHC	2008-09-08	2018-08-24	69.444%	10.000	9.990
CPIX	2009-08-26	2018-08-24	-65.197%	10.000	8.720
CPK	1980-03-17	2018-08-24	5076.023%	1.630	9.917
CPL	2004-09-29	2018-08-24	80.588%	10.009	9.989
CPLP	2007-03-30	2018-08-24	-88.673%	10.000	9.990
CPRT	1994-03-17	2018-08-24	10194.154%	0.427	9.993
CPRX	2006-11-08	2018-08-24	-48.033%	0.370	7.430
CPS	2010-05-27	2018-08-24	302.261%	100.090	99.950
CPSH	1997-05-14	2018-08-24	211.176%	0.250	5.000
CPSI	2002-05-21	2018-08-24	50.386%	14.040	79.060
CPSS	1992-10-22	2018-08-24	36.762%	0.250	9.938
CPST	2000-06-30	2018-08-24	-99.876%	0.580	995.000
CPT	1993-07-22	2018-08-24	310.826%	16.380	96.390
CPTA	2013-09-25	2018-08-24	-53.723%	10.200	9.838
CPTAG	2017-07-05	2018-08-24	-10.458%	23.750	27.920
CPTAL	2017-07-06	2018-08-24	0.479%	24.130	26.154
CR	1980-03-17	2018-08-24	2563.495%	1.558	98.990
CRAI	1998-04-24	2018-08-24	146.486%	10.000	9.900
CRAY	1995-09-26	2018-08-24	-12.245%	1.150	9.990
CRBP	2014-11-11	2018-08-24	66.667%	1.010	9.955
CRC	1992-04-16	2018-08-24	581.524%	0.340	98.650
CRCM	2014-01-24	2018-08-24	-18.889%	10.000	9.990
CREE	1993-02-09	2018-08-24	3730.974%	0.664	99.000
CREG	2004-03-05	2018-08-24	-61.955%	0.950	9.900
CRESY	1997-03-19	2018-08-24	-12.539%	10.000	9.990
CRH	1989-07-13	2018-08-24	898.519%	10.000	9.975
CRI	2003-10-28	2018-08-24	642.968%	100.000	99.970
CRIS	2000-08-01	2018-08-24	-98.802%	1.360	99.688
CRK	1987-08-28	2018-08-24	-84.400%	10.000	99.950
CRL	2000-06-23	2018-08-24	452.318%	100.060	99.970
CRM	2004-06-23	2018-08-24	3441.860%	10.000	99.630
CRMT	1987-03-13	2018-08-24	5503.334%	0.208	9.980
CRNT	2000-08-04	2018-08-24	-85.200%	0.880	9.990
CRON	2018-02-27	2018-08-24	30.446%	5.120	9.950
CROX	2006-02-08	2018-08-24	43.187%	0.790	9.990
CRR	1996-04-23	2018-08-24	-37.542%	10.000	99.930
CRS	1980-03-17	2018-08-24	659.154%	10.000	9.985
CRSP	2016-10-19	2018-08-24	243.648%	13.500	73.900
CRT	1992-02-28	2018-08-24	48.571%	10.000	9.938
CRTO	2013-10-30	2018-08-24	-25.713%	21.000	60.950
CRUS	1989-06-09	2018-08-24	611.596%	1.470	9.990
CRVL	1991-06-28	2018-08-24	5832.603%	0.972	9.995
CRVS	2016-03-23	2018-08-24	-29.544%	10.000	9.990
CRWS	2003-10-09	2018-08-24	691.667%	0.430	9.990
CRY	1993-02-12	2018-08-24	751.250%	1.400	9.990
CRZO	1997-08-06	2018-08-24	100.825%	1.000	9.980
CS	1995-05-16	2018-08-24	-29.208%	10.010	77.432
CSA	2007-12-28	2018-08-24	105.828%	20.520	77.255
CSB	2000-01-18	2018-08-24	1763.462%	0.285	99.950
CSBR	2007-02-02	2018-08-24	20.694%	1.110	9.960
CSCO	1990-02-16	2018-08-24	59855.772%	0.069	9.960
CSF	2000-06-14	2018-08-24	16.814%	0.450	9.990
CSFL	2001-01-31	2018-08-24	443.822%	10.000	9.995
CSGP	1998-07-01	2018-08-24	4628.925%	10.000	99.030
CSGS	1996-02-28	2018-08-24	221.913%	10.000	9.990
CSII	2006-06-28	2018-08-24	-62.059%	10.000	99.900
CSIQ	2006-11-09	2018-08-24	-11.324%	1.950	9.990
CSL	1980-03-17	2018-08-24	9733.638%	1.172	99.970
CSLT	2014-03-14	2018-08-24	-92.462%	10.050	9.870
CSML	2017-05-16	2018-08-24	16.720%	23.890	29.960
CSOD	2011-03-17	2018-08-24	192.816%	11.500	61.850
CSPI	1982-01-29	2018-08-24	89.916%	1.510	9.990
CSQ	2004-04-01	2018-08-24	-12.039%	10.000	9.990
CSS	1982-09-20	2018-08-24	2138.000%	0.625	9.958
CSSE	2017-08-18	2018-08-24	5.946%	10.000	9.990
CSTE	2012-03-22	2018-08-24	70.117%	10.080	72.010
CSTM	2013-05-23	2018-08-24	-19.133%	10.000	9.950
CSTR	2016-09-22	2018-08-24	11.195%	15.500	22.350
CSU	1997-10-31	2018-08-24	-51.104%	1.390	9.980
CSV	1996-08-09	2018-08-24	40.727%	1.062	9.990
CSWC	1980-03-17	2018-08-24	1749.212%	0.938	9.984
CSWCL	2017-12-19	2018-08-24	1.718%	25.010	31.140
CSWI	2015-09-30	2018-08-24	86.833%	27.840	57.200
CSX	1980-11-03	2018-08-24	6260.710%	1.007	9.992
CTAA	2007-06-05	2018-08-24	107.954%	0.001	90.000
CTAS	1983-08-19	2018-08-24	22249.431%	0.951	99.780
CTB	1980-03-18	2018-08-24	8784.706%	0.301	9.990
CTBB	2016-08-23	2018-08-24	-7.716%	19.863	26.190
CTBI	1987-12-29	2018-08-24	890.524%	10.007	9.989
CTG	1980-03-25	2018-08-24	477.920%	0.958	9.980
CTHR	1997-11-14	2018-08-24	-91.610%	0.180	9.990
CTIB	2003-05-29	2018-08-24	66.667%	0.500	9.910
CTIC	1998-03-25	2018-08-24	-99.997%	1.700	99240.000
CTL	1980-03-17	2018-08-24	2459.375%	0.790	9.963
CTLT	2014-07-31	2018-08-24	110.805%	18.920	47.870
CTMX	2015-10-08	2018-08-24	79.070%	10.000	9.980
CTR	2012-08-03	2018-08-24	-41.267%	10.000	9.980
CTRE	2014-05-29	2018-08-24	5.089%	10.000	9.930
CTRL	2013-08-02	2018-08-24	83.840%	10.020	9.980
CTRN	2005-05-18	2018-08-24	113.694%	10.000	9.920
CTRP	2003-12-09	2018-08-24	1754.567%	1.416	9.995
CTRV	2014-02-10	2018-08-24	-88.600%	0.080	9.920
CTS	1980-03-17	2018-08-24	1121.022%	10.000	9.990
CTSH	1998-06-19	2018-08-24	36312.801%	0.146	9.995
CTSO	2006-08-09	2018-08-24	221.522%	0.030	9.900
CTT	2013-12-12	2018-08-24	-9.481%	10.010	9.980
CTU	2012-08-03	2018-08-24	-5.599%	21.360	27.980
CTV	2006-04-11	2018-08-24	-18.957%	10.120	9.948
CTW	2012-05-10	2018-08-24	-3.387%	23.060	29.090
CTWS	1980-03-17	2018-08-24	1671.714%	10.000	9.944
CTXR	2017-06-12	2018-08-24	-80.946%	1.120	7.950
CTXS	1995-12-08	2018-08-24	5574.709%	1.294	98.600
CTY	2013-05-24	2018-08-24	-9.571%	18.660	25.970
CTZ	1999-09-27	2018-08-24	1276.000%	0.005	5.724
CUB	1980-03-17	2018-08-24	4413.789%	1.177	9.990
CUBA	1994-05-27	2018-08-24	4.000%	10.000	9.980
CUBE	2004-10-22	2018-08-24	83.264%	1.340	9.980
CUBI	2012-04-11	2018-08-24	167.327%	10.000	9.318
CUE	2018-01-02	2018-08-24	-26.225%	10.300	9.960
CUI	1999-09-15	2018-08-24	-92.213%	0.900	98.430
CUK	2000-10-23	2018-08-24	237.167%	10.300	72.290
CULP	1983-08-30	2018-08-24	288.971%	1.300	9.990
CUR	2007-03-30	2018-08-24	-97.187%	0.880	9.880
CURO	2017-12-07	2018-08-24	114.507%	13.500	30.500
CUTR	2004-03-31	2018-08-24	139.643%	10.000	9.990
CUZ	1980-03-17	2018-08-24	646.802%	1.123	9.990
CVA	1990-12-06	2018-08-24	486.667%	0.640	9.950
CVBF	1983-04-04	2018-08-24	8744.636%	0.260	9.990
CVCO	2003-07-01	2018-08-24	2328.000%	10.000	99.850
CVCY	1999-03-08	2018-08-24	298.744%	10.000	9.990
CVE	2009-11-17	2018-08-24	-61.280%	10.000	9.990
CVEO	2014-05-19	2018-08-24	-82.719%	0.747	9.310
CVG	1998-08-13	2018-08-24	47.970%	10.000	9.990
CVGI	2004-08-09	2018-08-24	-30.917%	0.400	9.990
CVGW	2002-07-23	2018-08-24	1375.524%	10.000	99.000
CVI	2007-10-23	2018-08-24	90.025%	10.000	9.950
CVLT	2006-09-22	2018-08-24	301.176%	10.010	90.000
CVLY	1994-04-05	2018-08-24	428.976%	10.007	9.988
CVNA	2017-04-28	2018-08-24	441.261%	10.000	9.810
CVON	2018-02-23	2018-08-24	18.125%	7.950	9.950
CVRR	2013-01-17	2018-08-24	-12.774%	10.000	9.950
CVS	1980-03-17	2018-08-24	4689.010%	1.523	99.990
CVTI	1994-10-28	2018-08-24	47.282%	1.360	9.990
CVV	1999-03-01	2018-08-24	487.000%	0.600	9.990
CVX	1970-01-02	2018-08-24	3544.325%	10.000	99.980
CW	1980-03-17	2018-08-24	4960.953%	10.000	99.940
CWAY	2014-01-15	2018-08-24	155.037%	10.040	27.950
CWBC	1996-11-19	2018-08-24	159.459%	1.270	9.950
CWBR	2015-01-28	2018-08-24	267.742%	0.890	9.972
CWCO	1995-01-25	2018-08-24	688.364%	1.500	9.990
CWH	2016-10-07	2018-08-24	-8.933%	18.160	47.620
CWST	1997-10-29	2018-08-24	23.865%	0.530	9.990
CWT	1980-03-17	2018-08-24	2167.586%	1.688	9.938
CX	1999-09-15	2018-08-24	-19.357%	1.794	9.997
CXDC	2007-10-11	2018-08-24	-89.202%	1.241	9.930
CXE	1989-02-17	2018-08-24	-49.400%	10.000	9.875
CXH	1989-05-19	2018-08-24	-23.000%	10.000	9.990
CXO	2007-08-03	2018-08-24	969.690%	100.000	99.950
CXP	2013-10-10	2018-08-24	3.407%	19.340	29.590
CXSE	2012-09-20	2018-08-24	50.161%	37.000	96.790
CXW	1997-07-15	2018-08-24	-74.047%	0.625	99.792
CY	1986-05-29	2018-08-24	1513.491%	0.648	9.990
CYAD	2015-06-19	2018-08-24	-46.344%	16.310	67.940
CYAN	1993-06-22	2018-08-24	-41.600%	0.750	9.970
CYBE	1987-12-17	2018-08-24	1622.273%	1.222	9.990
CYBR	2014-09-24	2018-08-24	147.912%	22.120	76.350
CYCC	2004-03-16	2018-08-24	-99.975%	1.280	999.600
CYD	1994-12-16	2018-08-24	93.580%	0.250	9.990
CYH	2000-06-09	2018-08-24	-68.529%	10.000	9.960
CYOU	2009-04-02	2018-08-24	-28.372%	12.680	52.000
CYRN	1999-07-13	2018-08-24	-95.931%	0.180	99.750
CYRX	2005-08-22	2018-08-24	-98.132%	1.030	99.600
CYTK	2004-04-30	2018-08-24	-92.671%	10.000	98.940
CYTR	1989-04-10	2018-08-24	-99.472%	1.050	995.148
CYTX	2001-02-13	2018-08-24	-99.960%	0.320	997.500
CZNC	1996-06-04	2018-08-24	116.294%	10.100	9.990
CZR	2012-02-08	2018-08-24	-32.749%	10.000	9.990
CZWI	2004-03-30	2018-08-24	13.177%	10.010	9.980
CZZ	2007-09-04	2018-08-24	-39.361%	10.000	9.990
D	1980-03-17	2018-08-24	2162.316%	10.000	9.958
DAC	2006-10-16	2018-08-24	-92.490%	1.050	9.750
DAIO	1990-03-26	2018-08-24	70.462%	0.410	9.990
DAKT	1994-02-10	2018-08-24	543.459%	0.406	9.990
DAL	2007-05-03	2018-08-24	175.965%	10.000	9.990
DAN	2008-01-02	2018-08-24	42.143%	0.190	9.950
DAR	1994-09-09	2018-08-24	482.000%	0.250	9.990
DARE	2014-04-10	2018-08-24	-98.496%	0.740	98.900
DATA	2013-05-17	2018-08-24	112.768%	100.000	99.950
DAVE	1996-11-04	2018-08-24	-18.730%	1.688	9.990
DAX	2014-10-23	2018-08-24	13.988%	21.290	34.000
DB	1996-11-18	2018-08-24	-74.870%	10.360	99.981
DBD	1981-12-31	2018-08-24	-14.461%	10.000	9.989
DBL	2012-01-27	2018-08-24	-17.836%	20.480	28.380
DBVT	2014-10-22	2018-08-24	-6.594%	16.650	50.570
DBX	2018-03-23	2018-08-24	-5.091%	26.500	43.500
DCAR	2004-12-15	2018-08-24	-99.979%	0.710	99.440
DCF	2017-10-26	2018-08-24	-52.577%	10.000	9.993
DCI	1980-03-17	2018-08-24	12701.730%	0.266	9.995
DCIX	2011-06-10	2018-08-24	-99.997%	1.300	97.020
DCO	1973-05-03	2018-08-24	1291.873%	0.583	9.990
DCOM	1996-06-26	2018-08-24	434.225%	10.000	9.994
DCP	2005-12-06	2018-08-24	80.809%	10.000	9.600
DCPH	2017-09-28	2018-08-24	100.963%	15.150	45.610
DCUD	2016-08-22	2018-08-24	-7.122%	42.500	54.160
DDBI	2015-12-29	2018-08-24	15.407%	22.000	31.490
DDD	1988-03-10	2018-08-24	231.248%	0.500	97.280
DDE	2002-03-19	2018-08-24	-54.119%	0.650	9.990
DDF	1993-03-19	2018-08-24	-16.333%	10.000	9.990
DDR	1993-02-02	2018-08-24	-27.713%	10.140	99.835
DDS	1980-03-17	2018-08-24	12765.715%	0.500	99.970
DDT	1998-10-14	2018-08-24	12.000%	10.030	9.990
DE	1972-06-01	2018-08-24	5307.377%	10.000	99.800
DEA	2015-02-06	2018-08-24	29.548%	15.180	22.320
DECK	1993-10-15	2018-08-24	1509.636%	0.417	99.950
DEI	2006-10-25	2018-08-24	61.435%	10.010	9.990
DELT	2015-06-04	2018-08-24	-95.778%	0.430	9.250
DENN	1998-01-08	2018-08-24	61.579%	0.230	9.990
DEO	1991-03-14	2018-08-24	375.529%	100.120	99.840
DERM	2014-10-03	2018-08-24	-38.392%	10.000	9.950
DESP	2017-09-20	2018-08-24	-44.902%	16.420	36.564
DEST	1993-03-16	2018-08-24	-46.000%	1.020	9.995
DEX	2007-07-26	2018-08-24	-44.050%	10.000	9.990
DF	1996-04-17	2018-08-24	68.110%	10.000	9.991
DFBG	1993-08-19	2018-08-24	-99.896%	0.700	99.375
DFBH	2018-05-24	2018-08-24	0.515%	9.600	9.800
DFFN	2008-11-05	2018-08-24	-99.972%	0.310	90.000
DFIN	2016-09-26	2018-08-24	-11.054%	15.220	29.000
DFNL	2017-01-12	2018-08-24	24.358%	19.830	25.618
DFP	2013-05-24	2018-08-24	-2.679%	19.570	28.350
DFRG	2012-07-27	2018-08-24	-25.385%	10.100	9.950
DFS	2007-06-14	2018-08-24	172.243%	10.030	9.980
DG	2009-11-13	2018-08-24	375.187%	100.120	99.930
DGICA	2003-07-03	2018-08-24	99.801%	10.007	9.979
DGICB	1986-10-29	2018-08-24	405.679%	1.503	9.984
DGII	1989-10-06	2018-08-24	264.138%	1.600	9.990
DGLD	2011-10-17	2018-08-24	9.560%	34.250	99.040
DGLY	2007-05-16	2018-08-24	-86.750%	1.700	91.280
DGRE	2013-08-01	2018-08-24	-4.042%	17.010	28.948
DGRS	2013-07-25	2018-08-24	53.935%	22.860	38.740
DGRW	2013-05-22	2018-08-24	74.980%	23.600	44.540
DGX	1996-12-17	2018-08-24	3057.429%	10.312	99.950
DHCP	1998-03-24	2018-08-24	-99.298%	0.300	99.000
DHF	1998-04-27	2018-08-24	-79.041%	1.560	9.938
DHI	1992-06-05	2018-08-24	2621.309%	1.051	9.990
DHIL	1996-06-06	2018-08-24	2385.867%	10.000	99.950
DHR	1980-03-17	2018-08-24	129965.580%	0.050	99.950
DHT	2005-10-13	2018-08-24	-96.867%	10.080	99.360
DHX	2007-07-26	2018-08-24	-81.420%	1.250	9.990
DHXM	2013-02-22	2018-08-24	-24.528%	1.700	8.749
DIAX	2014-12-03	2018-08-24	16.341%	11.860	20.000
DIN	1991-07-12	2018-08-24	1519.000%	10.000	99.990
DINT	2018-03-05	2018-08-24	-5.654%	17.840	20.620
DIOD	1980-03-17	2018-08-24	11676.154%	0.148	9.996
DIS	1970-01-02	2018-08-24	16284.532%	0.342	99.990
DISCA	2005-07-08	2018-08-24	265.051%	10.000	9.980
DISCK	2008-09-18	2018-08-24	229.000%	10.035	9.970
DISH	1995-06-21	2018-08-24	1568.235%	1.359	9.940
DJCO	1992-02-28	2018-08-24	2233.659%	10.000	99.990
DK	2006-05-04	2018-08-24	234.769%	10.000	9.990
DKL	2012-11-02	2018-08-24	46.532%	20.520	48.460
DKS	2002-10-16	2018-08-24	994.833%	10.000	9.925
DKT	2008-05-05	2018-08-24	2.904%	10.010	9.870
DL	2008-07-30	2018-08-24	32.127%	1.800	9.980
DLB	2005-02-17	2018-08-24	193.951%	14.500	74.290
DLHC	2015-10-02	2018-08-24	87.931%	1.890	6.510
DLNG	2013-11-13	2018-08-24	-51.056%	10.000	9.970
DLPH	2011-11-17	2018-08-24	68.823%	100.280	99.960
DLPN	2007-01-23	2018-08-24	-98.160%	0.400	98.000
DLR	2004-10-29	2018-08-24	930.333%	100.000	99.960
DLTH	2015-11-20	2018-08-24	107.106%	12.760	38.190
DLTR	1995-03-07	2018-08-24	7896.753%	1.053	99.930
DLX	1980-03-17	2018-08-24	1673.553%	10.044	9.994
DM	2014-10-15	2018-08-24	-36.766%	12.550	44.340
DMB	2013-04-26	2018-08-24	-15.400%	10.000	15.150
DMLP	2003-02-03	2018-08-24	13.750%	10.000	9.990
DMO	2010-02-24	2018-08-24	11.477%	18.400	27.560
DMPI	2013-02-22	2018-08-24	-69.647%	0.326	9.900
DMRC	1999-12-02	2018-08-24	-53.907%	10.000	9.990
DNB	1983-06-10	2018-08-24	813.088%	10.438	99.990
DNBF	1999-01-12	2018-08-24	80.375%	10.000	9.990
DNI	1998-06-24	2018-08-24	-79.300%	10.010	9.990
DNJR	2018-03-20	2018-08-24	45.455%	4.400	9.460
DNKN	2011-07-27	2018-08-24	156.481%	23.240	73.490
DNLI	2017-12-08	2018-08-24	-23.403%	12.320	25.789
DNOW	2014-05-20	2018-08-24	-43.224%	10.015	9.990
DNP	1987-01-21	2018-08-24	9.333%	10.000	9.990
DNR	1995-09-06	2018-08-24	209.333%	0.844	9.993
DO	1995-10-11	2018-08-24	44.583%	10.060	99.930
DOC	2013-07-19	2018-08-24	51.391%	11.000	22.030
DOCU	2018-04-27	2018-08-24	64.964%	37.000	67.210
DOGZ	2017-12-19	2018-08-24	-42.600%	2.500	6.400
DOOR	2009-07-24	2018-08-24	231.000%	20.000	85.300
DORM	1991-03-12	2018-08-24	3941.500%	0.297	9.990
DOV	1980-03-17	2018-08-24	5625.755%	1.383	9.992
DOVA	2017-06-29	2018-08-24	26.552%	16.980	37.000
DOX	1998-06-19	2018-08-24	364.500%	10.000	96.000
DPG	2011-08-01	2018-08-24	-23.031%	11.740	22.800
DPLO	2014-10-10	2018-08-24	23.283%	12.250	52.332
DPZ	2004-07-13	2018-08-24	2107.037%	10.160	99.870
